,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD,MAX_REP_WIND_DIR,WIND_COMPASS,CENTRAL_INDEX (CI)
1372,4.0,1.0,30.0,-29.5,154.2,985.0,25.7,175.0,S,3.3718918144016174
1373,4.0,1.0,30.0,-28.9,153.9,988.0,23.2,240.0,SW,3.171040401599453
1374,4.0,1.0,30.0,-28.6,154.1,990.0,20.6,280.0,W,3.02911482118419
1375,2.0,1.0,40.0,-11.6,121.7,955.0,41.2,330.0,NW,4.92472184575479
1376,2.0,1.0,40.0,-14.6,123.3,920.0,61.7,0.0,N,6.239283286714837
1377,2.0,1.0,40.0,-14.8,123.4,920.0,61.7,100.0,E,6.239283286714837
1378,2.0,1.0,40.0,-15.0,123.6,925.0,56.6,120.0,SE,6.070281891301724
1379,2.0,1.0,40.0,-16.0,124.1,945.0,46.3,340.0,N,5.33625761744873
1380,2.0,1.0,20.0,-9.9,99.2,997.0,15.4,180.0,S,2.4628321961038315
1381,2.0,1.0,30.0,-13.6,118.2,990.0,20.6,260.0,W,3.02911482118419
1382,2.0,1.0,30.0,-13.8,117.9,985.0,23.2,310.0,NW,3.3718918144016174
1383,2.0,1.0,30.0,-14.7,117.3,980.0,28.3,50.0,NE,3.680562551360306
1384,2.0,1.0,40.0,-17.7,115.6,955.0,38.6,90.0,E,4.92472184575479
1385,2.0,1.0,40.0,-18.4,115.3,955.0,41.2,90.0,E,4.92472184575479
1386,2.0,1.0,40.0,-18.6,115.2,955.0,43.7,80.0,E,4.92472184575479
1387,2.0,1.0,40.0,-18.9,115.1,950.0,46.3,70.0,E,5.1349502185120075
1388,2.0,1.0,40.0,-19.3,114.9,950.0,46.3,210.0,SW,5.1349502185120075
1389,2.0,1.0,40.0,-19.6,114.7,950.0,48.9,30.0,NE,5.1349502185120075
1390,2.0,1.0,40.0,-19.8,114.6,950.0,48.9,120.0,SE,5.1349502185120075
1391,2.0,1.0,40.0,-20.0,114.5,955.0,48.9,120.0,SE,4.92472184575479
1392,2.0,1.0,40.0,-20.2,114.2,965.0,43.7,70.0,E,4.472111984576423
1393,2.0,1.0,40.0,-20.4,114.2,965.0,41.2,80.0,E,4.472111984576423
1394,2.0,1.0,40.0,-20.7,114.1,965.0,38.6,70.0,E,4.472111984576423
1395,2.0,1.0,40.0,-20.9,113.9,965.0,36.0,80.0,E,4.472111984576423
1396,2.0,1.0,40.0,-21.1,113.7,965.0,38.6,70.0,E,4.472111984576423
1397,2.0,1.0,40.0,-21.4,113.4,965.0,41.2,70.0,E,4.472111984576423
1398,2.0,1.0,40.0,-21.7,113.2,965.0,41.2,80.0,E,4.472111984576423
1399,2.0,1.0,40.0,-22.1,112.9,970.0,33.4,40.0,NE,4.226080550428074
1400,2.0,1.0,30.0,-22.4,112.8,975.0,30.9,20.0,N,3.9634834350840573
1401,2.0,1.0,30.0,-22.7,112.8,980.0,28.3,20.0,N,3.680562551360306
1402,2.0,1.0,30.0,-22.9,112.8,985.0,25.7,10.0,N,3.3718918144016174
1403,2.0,1.0,30.0,-15.3,122.1,990.0,20.6,40.0,NE,3.02911482118419
1404,2.0,1.0,40.0,-18.2,119.8,970.0,33.4,270.0,W,4.226080550428074
1405,2.0,1.0,40.0,-18.2,119.9,965.0,36.0,270.0,W,4.472111984576423
1406,2.0,1.0,40.0,-18.4,120.0,965.0,38.6,260.0,W,4.472111984576423
1407,2.0,1.0,40.0,-19.4,120.6,965.0,38.6,90.0,E,4.472111984576423
1408,2.0,1.0,40.0,-19.8,120.9,965.0,38.6,320.0,NW,4.472111984576423
1409,2.0,3.0,40.0,-20.1,121.2,970.0,33.4,270.0,W,4.226080550428074
1410,4.0,1.0,40.0,-16.6,141.4,960.0,48.9,45.0,NE,4.704307118149952
1411,2.0,1.0,30.0,-11.4,96.4,975.0,30.9,110.0,E,3.9634834350840573
1412,4.0,1.0,40.0,-19.8,148.8,965.0,33.4,40.0,NE,4.472111984576423
1413,4.0,1.0,30.0,-18.7,152.4,980.0,28.3,110.0,E,3.680562551360306
1414,4.0,1.0,30.0,-18.5,154.6,990.0,25.7,120.0,SE,3.02911482118419
1415,4.0,1.0,30.0,-17.6,156.1,995.0,18.0,180.0,S,2.6381055546827414
1416,3.0,1.0,30.0,-15.6,137.0,986.0,23.1,200.0,S,3.3064069632968023
1417,2.0,1.0,30.0,-15.1,123.2,990.0,20.6,130.0,SE,3.02911482118419
1418,2.0,1.0,30.0,-15.4,123.1,985.0,25.7,330.0,NW,3.3718918144016174
1419,2.0,1.0,30.0,-15.7,122.6,980.0,28.3,20.0,N,3.680562551360306
1420,2.0,1.0,40.0,-16.7,120.2,965.0,36.0,130.0,SE,4.472111984576423
1421,2.0,1.0,40.0,-16.9,119.7,965.0,36.0,150.0,SE,4.472111984576423
1422,2.0,1.0,40.0,-17.1,119.3,965.0,36.0,150.0,SE,4.472111984576423
1423,2.0,1.0,40.0,-17.3,118.9,965.0,36.0,100.0,E,4.472111984576423
1424,2.0,1.0,40.0,-17.5,118.6,965.0,36.0,50.0,NE,4.472111984576423
1425,2.0,1.0,40.0,-17.7,118.3,965.0,36.0,30.0,NE,4.472111984576423
1426,2.0,1.0,40.0,-18.0,117.4,965.0,38.6,340.0,N,4.472111984576423
1427,2.0,1.0,40.0,-18.2,117.1,960.0,41.2,120.0,SE,4.704307118149952
1428,2.0,1.0,40.0,-18.4,116.8,960.0,41.2,140.0,SE,4.704307118149952
1429,2.0,1.0,40.0,-18.7,116.4,960.0,41.2,130.0,SE,4.704307118149952
1430,2.0,1.0,40.0,-19.0,115.9,960.0,41.2,100.0,E,4.704307118149952
1431,2.0,1.0,40.0,-22.2,111.0,955.0,43.7,60.0,NE,4.92472184575479
1432,2.0,1.0,30.0,-22.7,109.7,980.0,28.3,160.0,S,3.680562551360306
1433,2.0,1.0,30.0,-22.8,109.6,985.0,25.7,150.0,SE,3.3718918144016174
1434,4.0,1.0,30.0,-13.3,147.6,990.0,20.6,300.0,NW,3.02911482118419
1435,2.0,1.0,30.0,-15.4,120.0,990.0,20.6,250.0,W,3.02911482118419
1436,2.0,1.0,30.0,-15.6,120.1,990.0,20.6,200.0,S,3.02911482118419
1437,2.0,1.0,30.0,-16.0,120.1,990.0,20.6,220.0,SW,3.02911482118419
1438,2.0,1.0,30.0,-16.2,119.7,985.0,25.7,190.0,S,3.3718918144016174
1439,2.0,1.0,30.0,-16.1,119.8,985.0,25.7,200.0,S,3.3718918144016174
1440,2.0,2.0,40.0,-20.9,119.4,955.0,41.2,270.0,W,4.92472184575479
1441,4.0,2.0,20.0,-12.2,143.0,993.0,15.4,290.0,W,2.801604936095944
1442,4.0,4.0,20.0,-12.6,144.0,990.0,15.4,240.0,SW,3.02911482118419
1443,4.0,1.0,30.0,-14.4,145.4,988.0,23.2,140.0,SE,3.171040401599453
1444,4.0,3.0,30.0,-14.3,144.5,982.0,28.3,240.0,SW,3.560566909487789
1445,2.0,1.0,40.0,-18.1,114.8,925.0,54.0,80.0,E,6.070281891301724
1446,2.0,1.0,40.0,-18.7,114.8,925.0,54.0,80.0,E,6.070281891301724
1447,2.0,1.0,40.0,-19.3,115.0,925.0,54.0,60.0,NE,6.070281891301724
1448,2.0,1.0,40.0,-19.8,115.2,925.0,54.0,130.0,SE,6.070281891301724
1449,2.0,1.0,40.0,-20.5,115.5,925.0,54.0,130.0,SE,6.070281891301724
1450,2.0,3.0,40.0,-21.4,116.0,930.0,54.0,250.0,W,5.896031637296744
1451,2.0,2.0,40.0,-22.3,116.6,945.0,46.3,250.0,W,5.33625761744873
1452,2.0,2.0,40.0,-23.3,117.3,970.0,33.4,30.0,NE,4.226080550428074
1453,4.0,1.0,21.0,-13.2,159.5,995.0,20.6,80.0,E,2.6381055546827414
1454,4.0,1.0,30.0,-11.2,159.1,975.0,28.3,0.0,N,3.9634834350840573
1455,4.0,1.0,30.0,-11.1,159.6,975.0,28.3,340.0,N,3.9634834350840573
1456,4.0,1.0,30.0,-11.5,159.9,975.0,28.3,310.0,NW,3.9634834350840573
1457,6.0,1.0,40.0,-13.5,163.8,970.0,36.0,300.0,NW,4.226080550428074
1458,6.0,1.0,40.0,-15.3,164.9,970.0,36.0,300.0,NW,4.226080550428074
1459,6.0,1.0,40.0,-20.1,169.3,955.0,43.7,60.0,NE,4.92472184575479
1460,3.0,1.0,30.0,-13.4,137.0,991.0,18.0,100.0,E,2.9553819823622214
1461,3.0,1.0,30.0,-11.7,129.9,992.0,18.0,80.0,E,2.879603808648294
1462,3.0,1.0,30.0,-12.1,129.5,990.0,20.6,60.0,NE,3.02911482118419
1463,3.0,1.0,30.0,-12.9,128.3,988.0,23.2,40.0,NE,3.171040401599453
1464,3.0,2.0,30.0,-14.2,126.3,988.0,23.2,230.0,SW,3.171040401599453
1465,3.0,2.0,30.0,-14.7,125.5,992.0,20.6,230.0,SW,2.879603808648294
1466,2.0,4.0,30.0,-15.0,125.0,994.0,20.6,220.0,SW,2.7211835684431747
1467,6.0,1.0,30.0,-14.8,161.5,980.0,30.9,220.0,SW,3.680562551360306
1468,6.0,1.0,40.0,-15.2,160.7,975.0,33.4,220.0,SW,3.9634834350840573
1469,4.0,1.0,40.0,-15.2,159.5,955.0,43.7,290.0,W,4.92472184575479
1470,4.0,1.0,40.0,-15.6,159.2,945.0,46.3,20.0,N,5.33625761744873
1471,4.0,1.0,40.0,-15.8,158.9,945.0,43.7,0.0,N,5.33625761744873
1472,4.0,1.0,40.0,-17.4,159.4,940.0,41.2,120.0,SE,5.529668317559652
1473,6.0,1.0,40.0,-18.1,161.0,945.0,36.0,20.0,N,5.33625761744873
1474,6.0,1.0,40.0,-19.4,162.3,945.0,36.0,0.0,N,5.33625761744873
1475,6.0,1.0,40.0,-20.2,163.3,945.0,43.7,50.0,NE,5.33625761744873
1476,6.0,1.0,40.0,-20.9,164.4,950.0,41.2,120.0,SE,5.1349502185120075
1477,6.0,1.0,40.0,-22.2,165.3,950.0,41.2,330.0,NW,5.1349502185120075
1478,6.0,1.0,40.0,-23.5,166.5,960.0,38.6,90.0,E,4.704307118149952
1479,7.0,1.0,40.0,-26.3,167.4,970.0,36.0,120.0,SE,4.226080550428074
1480,4.0,1.0,30.0,-17.3,148.7,998.0,18.0,120.0,SE,2.369923199020532
1481,4.0,1.0,30.0,-17.0,153.5,990.0,23.0,90.0,E,3.02911482118419
1482,4.0,1.0,30.0,-16.6,152.7,987.0,23.0,290.0,W,3.239488445091218
1483,4.0,1.0,30.0,-16.5,152.5,981.0,23.0,310.0,NW,3.621102323191423
1484,4.0,1.0,30.0,-16.5,152.5,981.0,23.0,130.0,SE,3.621102323191423
1485,4.0,1.0,30.0,-16.7,151.9,977.0,26.0,200.0,S,3.8530109421255934
1486,4.0,1.0,30.0,-16.7,151.9,980.0,26.0,110.0,E,3.680562551360306
1487,4.0,1.0,30.0,-17.0,151.9,978.0,26.0,80.0,E,3.796469144159554
1488,4.0,1.0,30.0,-17.3,151.9,976.0,26.0,90.0,E,3.9086693074875756
1489,4.0,1.0,30.0,-17.2,151.3,975.0,28.3,100.0,E,3.9634834350840573
1490,4.0,1.0,30.0,-17.5,151.2,974.0,31.0,210.0,SW,4.017489717973018
1491,4.0,1.0,30.0,-17.3,151.2,975.0,31.0,220.0,SW,3.9634834350840573
1492,4.0,1.0,30.0,-17.0,151.3,975.0,31.0,200.0,S,3.9634834350840573
1493,4.0,1.0,30.0,-16.8,151.4,976.0,31.0,190.0,S,3.9086693074875756
1494,4.0,1.0,30.0,-16.6,151.5,977.0,31.0,220.0,SW,3.8530109421255934
1495,4.0,1.0,30.0,-16.6,151.6,978.0,31.0,220.0,SW,3.796469144159554
1496,4.0,1.0,30.0,-16.7,151.7,980.0,31.0,220.0,SW,3.680562551360306
1497,4.0,1.0,30.0,-16.7,151.8,980.0,31.0,210.0,SW,3.680562551360306
1498,4.0,1.0,30.0,-16.7,151.8,980.0,26.0,200.0,S,3.680562551360306
1499,4.0,1.0,30.0,-16.6,151.9,982.0,26.0,200.0,S,3.560566909487789
1500,4.0,1.0,30.0,-16.5,151.9,984.0,26.0,200.0,S,3.436029288204253
1501,4.0,1.0,30.0,-16.2,151.8,985.0,26.0,200.0,S,3.3718918144016174
1502,4.0,1.0,30.0,-16.1,151.8,987.0,23.0,120.0,SE,3.239488445091218
1503,4.0,1.0,30.0,-16.1,151.8,990.0,18.0,190.0,S,3.02911482118419
1504,4.0,1.0,30.0,-15.8,151.9,990.0,20.6,190.0,S,3.02911482118419
1505,4.0,1.0,30.0,-15.5,152.0,990.0,20.6,180.0,S,3.02911482118419
1506,4.0,1.0,30.0,-16.1,159.6,975.0,30.9,150.0,SE,3.9634834350840573
1507,4.0,1.0,30.0,-16.5,159.3,975.0,30.9,130.0,SE,3.9634834350840573
1508,3.0,1.0,20.0,-11.1,131.2,999.0,15.4,90.0,E,2.272896922914969
1509,3.0,1.0,21.0,-10.9,132.2,999.0,15.4,230.0,SW,2.272896922914969
1510,3.0,1.0,21.0,-11.0,132.9,992.0,18.0,240.0,SW,2.879603808648294
1511,3.0,3.0,30.0,-12.1,135.7,992.0,18.0,160.0,S,2.879603808648294
1512,3.0,3.0,30.0,-12.4,136.3,989.0,20.6,320.0,NW,3.100955855502096
1513,3.0,4.0,30.0,-12.8,137.0,988.0,23.2,310.0,NW,3.171040401599453
1514,3.0,1.0,30.0,-14.0,137.5,982.0,25.7,280.0,W,3.560566909487789
1515,3.0,5.0,30.0,-14.3,136.6,980.0,28.3,140.0,SE,3.680562551360306
1516,3.0,1.0,30.0,-14.3,136.3,979.0,30.9,10.0,N,3.73900160612611
1517,3.0,1.0,30.0,-14.4,136.1,976.0,30.9,20.0,N,3.9086693074875756
1518,3.0,3.0,30.0,-14.3,135.7,988.0,23.2,330.0,NW,3.171040401599453
1519,3.0,2.0,30.0,-14.6,129.8,1000.0,12.9,270.0,W,2.171169359038437
1520,3.0,2.0,21.0,-14.2,129.7,1000.0,18.0,310.0,NW,2.171169359038437
1521,3.0,4.0,30.0,-14.1,129.3,998.0,20.6,270.0,W,2.369923199020532
1522,3.0,1.0,30.0,-14.2,128.8,997.0,20.6,310.0,NW,2.4628321961038315
1523,3.0,1.0,30.0,-14.3,128.0,997.0,20.6,270.0,W,2.4628321961038315
1524,3.0,3.0,21.0,-14.5,127.6,998.0,18.0,250.0,W,2.369923199020532
1525,3.0,2.0,21.0,-14.7,127.2,998.0,18.0,0.0,N,2.369923199020532
1526,3.0,2.0,21.0,-15.0,126.6,998.0,18.0,300.0,NW,2.369923199020532
1527,3.0,2.0,21.0,-15.3,126.2,998.0,18.0,310.0,NW,2.369923199020532
1528,2.0,3.0,20.0,-16.6,123.6,998.0,18.0,250.0,W,2.369923199020532
1529,2.0,1.0,40.0,-20.0,114.5,920.0,56.6,125.0,SE,6.239283286714837
1530,2.0,1.0,40.0,-20.3,114.5,920.0,56.6,125.0,SE,6.239283286714837
1531,2.0,1.0,40.0,-20.5,114.5,920.0,56.6,125.0,SE,6.239283286714837
1532,2.0,1.0,40.0,-20.7,114.5,920.0,56.6,127.0,SE,6.239283286714837
1533,2.0,1.0,40.0,-20.9,114.5,920.0,56.6,134.0,SE,6.239283286714837
1534,2.0,1.0,40.0,-21.1,114.5,920.0,56.6,132.0,SE,6.239283286714837
1535,2.0,1.0,40.0,-21.4,114.5,920.0,56.6,146.0,SE,6.239283286714837
1536,2.0,1.0,40.0,-21.6,114.4,920.0,56.6,138.0,SE,6.239283286714837
1537,2.0,1.0,40.0,-21.9,114.4,920.0,56.6,149.0,SE,6.239283286714837
1538,2.0,1.0,40.0,-22.1,114.4,920.0,54.0,173.0,S,6.239283286714837
1539,2.0,3.0,40.0,-22.4,114.3,925.0,54.0,192.0,S,6.070281891301724
1540,2.0,2.0,40.0,-22.7,114.4,930.0,51.4,147.0,SE,5.896031637296744
1541,2.0,2.0,40.0,-22.9,114.4,935.0,46.3,81.0,E,5.716025185995287
1542,2.0,2.0,40.0,-23.2,114.4,935.0,43.7,75.0,E,5.716025185995287
1543,2.0,2.0,40.0,-23.4,114.5,940.0,41.2,88.0,E,5.529668317559652
1544,2.0,2.0,40.0,-23.7,114.6,940.0,38.6,87.0,E,5.529668317559652
1545,2.0,2.0,40.0,-24.0,114.8,945.0,36.0,87.0,E,5.33625761744873
1546,2.0,1.0,40.0,-18.5,117.5,915.0,56.6,100.0,E,6.403473058700524
1547,2.0,1.0,40.0,-18.9,117.4,915.0,56.6,80.0,E,6.403473058700524
1548,2.0,1.0,40.0,-19.2,117.3,915.0,56.6,150.0,SE,6.403473058700524
1549,2.0,1.0,40.0,-19.5,117.3,915.0,56.6,70.0,E,6.403473058700524
1550,2.0,1.0,40.0,-19.8,117.3,915.0,56.6,50.0,NE,6.403473058700524
1551,2.0,1.0,40.0,-20.1,117.4,930.0,51.4,40.0,NE,5.896031637296744
1552,2.0,1.0,40.0,-20.5,117.5,940.0,51.4,20.0,N,5.529668317559652
1553,2.0,3.0,40.0,-20.8,117.6,950.0,46.3,0.0,N,5.1349502185120075
